school,sex,age,address,famsize,Pstatus,Medu,Fedu,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1_Eva,G2_Eva,G3_Eva
0,1,18,1,1,0,4,4,0,0,2,2,0,1,0,0,0,1,1,0,0,4,3,4,1,1,3,6,1,1,1
0,1,17,1,1,1,1,1,0,1,1,2,0,0,1,0,0,0,1,1,0,5,3,3,1,1,3,4,1,1,1
0,1,15,1,0,1,1,1,1,0,1,2,3,1,0,1,0,1,1,1,0,4,3,2,2,3,3,10,1,1,2
0,1,15,1,1,1,4,2,2,0,1,3,0,0,1,1,1,1,1,1,1,3,2,2,1,1,5,2,3,3,3
0,1,16,1,1,1,3,3,2,1,1,2,0,0,1,1,0,1,1,0,0,4,3,2,1,2,5,4,1,2,2
0,0,16,1,0,1,4,3,3,0,1,2,0,0,1,1,1,1,1,1,0,5,4,2,1,2,5,10,3,3,3
0,0,16,1,0,1,2,2,2,0,1,2,0,0,0,0,0,1,1,1,0,4,4,4,1,1,3,0,2,2,2
0,1,17,1,1,0,4,4,2,0,2,2,0,1,1,0,0,1,1,0,0,4,1,4,1,1,1,6,1,1,1
0,0,15,1,0,0,3,2,2,0,1,2,0,0,1,1,0,1,1,1,0,4,2,2,1,1,1,0,4,4,4
0,0,15,1,1,1,3,4,2,0,1,2,0,0,1,1,1,1,1,1,0,5,5,1,1,1,5,0,3,3,3
0,1,15,1,1,1,4,4,3,0,1,2,0,0,1,1,0,1,1,1,0,3,3,3,1,2,2,0,2,1,2
0,1,15,1,1,1,2,1,3,1,3,3,0,0,1,0,1,1,1,1,0,5,2,2,1,1,4,4,2,2,2
0,0,15,1,0,1,4,4,0,1,1,1,0,0,1,1,1,1,1,1,0,4,3,3,1,3,5,2,3,3,3
0,0,15,1,1,1,4,3,0,0,2,2,0,0,1,1,0,1,1,1,0,5,4,3,1,2,3,2,2,2,2
0,0,15,1,1,0,2,2,2,2,1,3,0,0,1,0,0,1,1,1,1,4,5,2,1,1,3,0,3,4,4
0,1,16,1,1,1,4,4,2,0,1,1,0,0,1,0,0,1,1,1,0,4,4,4,1,2,2,4,3,3,3
0,1,16,1,1,1,4,4,3,0,1,3,0,0,1,1,1,1,1,1,0,3,2,3,1,2,2,6,3,3,3
0,1,16,1,1,1,3,3,3,0,3,2,0,1,1,0,1,1,1,0,0,5,3,2,1,1,4,4,1,2,2
0,0,17,1,1,1,3,2,0,0,1,1,3,0,1,0,1,1,1,1,0,5,5,5,2,4,5,16,1,1,1
0,0,16,1,0,1,4,3,2,1,1,1,0,0,0,1,1,1,1,1,0,3,1,3,1,3,5,4,1,2,2
0,0,15,1,1,1,4,3,3,0,1,2,0,0,0,0,0,1,1,1,0,4,4,1,1,1,1,0,3,3,3
0,0,15,1,1,1,4,4,1,1,1,1,0,0,1,1,0,1,1,1,0,5,4,2,1,1,5,0,2,3,3
0,0,16,1,0,1,4,2,0,0,1,2,0,0,0,0,1,1,1,1,0,4,5,1,1,3,5,2,3,3,4
0,0,16,1,0,1,2,2,3,0,2,2,0,0,1,0,1,1,1,1,0,5,4,4,2,4,5,0,3,3,2
0,1,15,0,1,1,2,4,0,0,1,3,0,1,1,1,1,1,1,1,0,4,3,2,1,1,5,2,2,2,1
0,1,16,1,1,1,2,2,2,0,1,1,2,0,1,1,0,0,1,1,0,1,2,2,1,3,5,14,1,2,1
0,0,15,1,1,1,2,2,2,0,1,1,0,0,1,1,0,1,1,1,0,4,2,2,1,2,5,2,2,2,2
0,0,15,1,1,1,4,2,1,0,1,1,0,0,0,1,0,1,1,1,0,2,2,4,2,4,1,4,3,4,3
0,0,16,1,0,0,3,4,2,0,1,2,0,1,1,0,1,1,1,1,0,5,3,3,1,1,5,4,2,2,2
0,0,16,1,1,1,4,4,2,0,1,2,0,0,1,1,1,1,1,1,1,4,4,5,5,5,5,16,2,2,2
0,0,15,1,1,1,4,4,2,0,1,2,0,0,1,1,0,0,1,1,0,5,4,2,3,4,5,0,2,2,2
0,0,15,1,1,1,4,4,3,0,2,2,0,0,1,0,1,1,1,1,0,4,3,1,1,1,5,0,4,4,4
0,0,15,0,1,1,4,3,0,0,1,2,0,0,1,0,1,1,1,1,1,4,5,2,1,1,5,0,4,4,4
0,0,15,1,0,1,3,3,0,0,1,2,0,0,0,0,1,0,1,1,0,5,3,2,1,1,2,0,1,2,2
0,0,16,1,1,1,3,2,2,0,1,1,0,0,1,1,0,0,1,1,0,5,4,3,1,1,5,0,2,3,3
0,1,15,1,1,1,2,3,1,1,2,1,0,0,1,0,1,1,1,0,0,3,5,1,1,1,5,0,1,1,1
0,0,15,1,0,1,4,3,2,0,1,3,0,0,1,0,1,1,1,1,0,5,4,3,1,1,4,2,3,4,4
0,0,16,0,1,0,4,4,3,0,2,3,0,0,1,0,1,1,1,1,1,2,4,3,1,1,5,7,3,4,3
0,1,15,0,1,1,3,4,0,0,1,3,0,1,1,1,1,1,1,1,0,4,3,2,1,1,5,2,2,2,2
0,1,15,0,1,1,2,2,3,0,1,1,0,1,1,1,1,1,1,0,0,4,3,1,1,1,2,8,3,3,3
0,1,16,1,0,1,2,2,2,0,2,2,1,0,1,0,1,0,1,1,1,3,3,3,1,2,3,25,1,2,2
0,0,15,1,0,1,4,4,2,2,1,1,0,0,1,0,0,0,1,1,1,5,4,3,2,4,5,8,2,2,2
0,0,15,1,1,1,4,4,0,1,1,2,0,0,1,0,1,1,1,1,0,4,3,3,1,1,5,2,4,4,4
0,0,15,1,1,1,2,2,0,1,1,1,0,1,1,0,0,1,1,1,0,5,4,1,1,1,1,0,1,1,2
0,1,16,1,0,1,2,2,0,1,2,2,1,1,0,0,1,1,1,1,0,4,3,3,2,2,5,14,2,2,2
0,1,15,1,0,0,4,3,0,0,1,2,0,1,1,1,1,1,1,1,1,5,2,2,1,1,5,8,1,1,1
0,1,16,1,0,0,3,3,2,0,1,2,0,0,1,0,0,1,1,1,0,2,3,5,1,4,3,12,2,2,2
0,0,16,1,1,1,4,3,3,0,1,4,0,0,0,0,1,1,1,1,0,4,2,2,1,1,2,4,4,4,4
0,0,15,1,1,1,4,2,2,0,1,2,0,0,1,1,0,1,1,0,0,4,3,3,2,2,5,2,3,3,3
0,1,15,1,1,1,4,4,1,1,1,2,1,1,1,0,1,0,1,1,0,4,4,4,1,1,3,2,1,1,1
0,1,16,1,0,1,2,2,0,0,3,2,0,0,1,1,0,1,1,1,0,4,3,3,2,3,4,2,2,3,3
0,1,15,1,0,1,4,2,1,0,1,2,0,0,1,1,0,1,1,1,0,4,3,3,1,1,5,2,2,3,3
0,0,15,1,0,0,4,2,1,1,2,1,1,0,0,0,0,1,1,0,0,5,5,5,3,4,5,6,2,2,2
0,1,15,1,1,1,4,4,0,0,1,1,0,1,1,1,0,1,1,1,0,3,3,4,2,3,5,0,1,2,2
0,1,15,1,0,0,3,3,1,0,1,1,0,0,0,1,0,1,1,1,0,5,3,4,4,4,1,6,2,3,3
0,1,16,1,1,0,2,1,1,0,1,2,0,0,0,1,1,1,1,1,1,5,3,4,1,1,2,8,1,2,2
0,1,15,1,1,0,4,3,3,0,1,2,0,0,1,1,1,1,1,1,0,4,3,2,1,1,1,0,3,3,3
0,0,15,1,1,1,4,4,3,0,1,2,0,0,1,0,1,1,1,0,0,3,2,2,1,1,5,4,3,3,3
0,0,15,1,0,1,1,2,2,1,1,2,0,1,1,0,1,1,1,1,0,4,3,2,1,1,5,2,2,2,2
0,1,16,1,1,1,4,2,0,0,1,2,0,0,1,0,0,1,1,1,0,4,2,3,1,1,5,2,3,4,4
0,1,16,0,1,1,4,4,1,0,1,2,0,0,1,0,1,1,1,0,0,2,4,4,2,3,4,6,2,2,2
0,1,16,1,1,1,1,1,0,1,4,1,0,1,1,0,1,0,1,1,1,5,5,5,5,5,5,6,2,1,2
0,1,16,1,0,1,1,2,3,1,1,2,0,1,0,0,1,1,1,1,0,4,4,3,1,1,1,4,1,2,2
0,1,16,1,1,1,4,3,2,0,1,3,0,1,1,1,1,1,1,1,0,3,4,4,2,4,4,2,2,2,2
0,1,15,1,0,1,4,3,3,1,1,2,0,1,0,0,1,1,1,1,1,4,4,4,2,4,2,0,2,2,2
0,1,16,1,0,1,4,3,0,0,3,2,0,0,1,0,1,1,1,1,0,5,4,3,1,2,1,2,4,3,3
0,0,15,1,1,0,4,4,3,0,1,4,0,0,1,0,1,0,1,1,1,1,3,3,5,5,3,4,3,3,2
0,1,16,1,1,1,3,1,0,0,1,4,0,1,1,1,0,1,1,1,0,4,3,3,1,2,5,4,1,1,1
0,1,15,0,0,1,2,2,3,0,2,2,0,1,1,1,0,1,1,1,0,4,1,3,1,3,4,2,1,2,1
0,1,15,0,0,1,3,1,3,1,2,4,0,0,1,0,0,0,1,1,0,4,4,2,2,3,3,12,4,4,4
0,0,16,1,1,1,3,1,3,1,2,4,0,0,1,1,0,1,1,1,0,4,3,2,1,1,5,0,3,3,3
0,0,15,1,1,1,4,2,0,0,1,4,0,0,0,0,0,1,1,1,0,3,3,3,1,1,3,0,2,2,2
0,1,15,0,1,1,1,1,3,0,1,2,2,1,1,0,0,0,1,1,1,3,3,4,2,4,5,2,1,1,1
0,0,16,1,1,1,3,1,3,0,1,1,0,0,0,0,1,1,1,0,0,5,3,2,2,2,5,2,2,2,3
0,1,16,1,1,1,3,3,2,0,1,2,0,1,1,1,1,1,1,1,0,4,3,3,2,4,5,54,2,2,2
0,0,15,1,1,1,4,3,2,0,1,2,0,0,1,1,1,1,1,1,0,4,3,3,2,3,5,6,2,2,2
0,0,15,1,1,1,4,0,0,0,2,4,0,0,0,0,1,1,1,1,0,3,4,3,1,1,1,8,2,2,2
0,1,16,1,1,1,2,2,3,0,1,4,0,0,0,1,0,1,1,1,1,5,2,3,1,3,3,0,2,2,2
0,0,17,1,1,1,2,1,2,0,2,1,3,1,1,0,1,1,0,1,0,4,5,1,1,1,3,2,1,1,2
0,1,16,1,1,1,3,4,0,0,1,2,0,0,1,0,0,1,1,1,0,2,4,3,1,2,3,12,1,1,1
0,0,15,1,1,1,2,3,0,1,1,1,0,1,1,1,1,0,1,1,1,3,2,2,1,3,3,2,2,2,2
0,0,15,1,1,1,2,3,2,0,1,3,0,1,0,1,0,0,1,1,0,5,3,2,1,2,5,4,2,2,2
0,1,15,1,0,1,3,2,3,0,1,2,0,0,1,1,0,1,1,1,0,4,4,4,1,1,5,10,1,1,1
0,0,15,1,0,1,2,2,2,0,2,2,0,0,0,1,1,1,1,1,0,5,3,3,1,3,4,4,3,3,3
0,1,15,1,1,1,1,1,2,1,1,2,0,0,1,0,1,0,1,1,0,4,3,2,2,3,4,2,2,2,2
0,1,15,1,1,1,4,4,3,1,2,2,2,0,0,1,0,1,1,1,1,4,4,4,2,3,5,6,1,2,1
0,1,16,1,0,1,2,2,0,0,1,2,0,0,1,0,0,1,1,0,0,4,3,4,1,2,2,4,1,1,1
0,1,15,1,1,1,4,2,3,0,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,3,1,4,3,3,3
0,0,16,1,1,1,2,2,3,1,2,2,1,0,0,1,1,0,1,1,0,4,4,2,1,1,3,12,2,2,2
0,0,16,1,0,0,4,4,3,0,1,2,0,0,1,0,0,1,1,0,0,4,1,3,3,5,5,18,1,1,1
0,1,16,1,1,1,3,3,2,0,1,3,0,0,1,1,0,1,1,1,1,4,3,3,1,3,4,0,1,1,1
0,1,15,1,1,1,4,3,3,0,1,1,0,0,0,1,1,1,1,1,0,4,5,5,1,3,1,4,4,4,4
0,1,16,1,0,1,3,1,2,1,1,2,0,1,1,0,0,1,1,0,0,3,3,3,2,3,2,4,1,1,1
0,1,16,1,1,1,4,2,2,0,2,2,0,0,1,1,1,1,1,1,0,5,3,3,1,1,1,0,2,2,2
0,0,15,1,0,1,2,2,3,0,1,4,0,0,1,0,1,1,1,1,0,4,3,4,1,1,4,6,2,3,3
0,1,15,0,1,1,1,1,2,0,2,4,1,1,1,1,1,1,1,1,0,3,1,2,1,1,1,2,1,2,2
0,0,16,0,1,1,4,3,3,0,2,1,0,1,1,0,1,0,1,1,0,3,3,3,1,1,4,2,2,3,3
0,1,16,1,1,1,2,1,0,0,1,2,0,0,1,1,0,1,1,0,1,4,3,5,1,1,5,2,1,2,2
0,1,16,1,1,1,4,4,3,0,1,1,0,0,0,0,1,0,1,1,0,5,3,4,1,2,1,6,2,3,3
0,1,16,1,1,1,4,3,0,0,1,3,0,1,1,1,0,1,1,1,0,5,3,5,1,1,3,0,1,2,1
0,0,16,1,1,1,4,4,1,0,1,1,0,1,1,1,1,1,1,1,0,4,5,5,5,5,4,14,1,1,1
0,0,16,1,1,1,4,4,1,1,1,3,0,0,1,0,1,1,1,1,1,4,4,3,1,1,4,0,4,4,4
0,0,15,1,1,1,4,4,0,0,1,1,0,0,1,0,1,0,1,1,0,5,3,3,1,1,5,4,2,3,3
0,1,15,1,1,1,3,2,2,0,2,2,0,1,1,1,0,1,1,1,0,4,3,5,1,1,2,26,1,1,1
0,0,15,1,1,0,3,4,0,0,1,2,0,0,1,1,1,1,1,1,0,5,4,4,1,1,1,0,4,4,4
0,1,15,1,1,0,3,3,3,1,1,4,0,1,0,0,0,1,1,0,0,4,3,3,1,1,4,10,2,2,2
0,1,15,1,1,1,2,2,0,0,1,4,0,1,1,1,0,1,1,1,0,5,1,2,1,1,3,8,1,1,1
0,0,16,1,1,1,3,3,2,1,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,1,5,2,4,4,4
0,0,15,0,1,1,4,4,2,1,4,4,0,0,1,1,1,1,1,1,1,1,3,5,3,5,1,6,2,3,3
0,1,16,1,0,1,4,4,1,0,1,3,0,0,1,1,1,1,1,1,1,5,4,5,1,1,4,4,3,3,4
0,0,15,1,0,0,4,4,0,0,1,1,0,0,0,0,1,1,1,1,0,5,5,3,1,1,4,6,4,4,4
0,1,16,0,1,1,3,3,3,1,1,3,1,1,1,0,1,1,1,1,0,4,1,2,1,1,2,0,1,2,2
0,1,16,1,1,1,2,2,2,0,1,2,1,1,0,0,1,1,1,1,0,3,1,2,1,1,5,6,2,3,3
0,0,15,1,0,1,4,2,0,0,1,1,0,0,0,0,0,1,1,1,0,3,5,2,1,1,3,10,4,4,4
0,0,15,0,1,1,2,1,3,0,1,2,0,0,0,0,1,1,1,1,1,5,4,2,1,1,5,8,2,2,2
0,0,16,1,1,1,4,4,0,1,1,2,0,0,1,0,1,1,1,1,0,5,4,4,1,2,5,2,3,3,4
0,0,15,1,1,1,4,4,3,1,2,2,0,0,1,0,1,1,1,0,0,4,4,3,1,1,2,2,2,3,3
0,0,16,1,1,1,3,3,2,1,2,1,0,0,0,0,1,1,1,1,0,5,4,2,1,1,5,0,3,3,3
0,0,17,0,1,1,1,3,0,1,3,2,1,0,1,0,1,1,1,1,0,5,2,4,1,4,5,20,2,1,1
0,0,15,1,1,1,3,4,3,1,1,1,0,0,0,0,0,1,1,1,0,3,4,3,1,2,4,6,3,3,3
0,1,15,1,1,1,1,2,0,0,1,2,0,0,0,0,0,0,1,1,0,3,2,3,1,2,1,2,4,3,3
0,0,15,1,1,1,2,2,2,1,1,4,0,0,1,1,1,1,1,1,0,5,5,4,1,2,5,6,4,3,3
0,1,16,1,0,1,2,4,0,1,2,2,0,0,1,1,1,1,1,1,1,4,2,2,1,2,5,2,3,3,3
0,0,16,1,1,1,4,4,0,0,1,1,0,0,1,0,1,1,1,1,0,3,4,4,1,4,5,18,3,2,3
0,1,16,1,1,1,2,2,2,0,1,2,0,0,0,1,0,1,1,1,1,5,4,4,1,1,5,0,1,1,1
0,0,15,1,1,1,3,4,2,1,1,1,0,1,0,0,0,1,1,1,0,5,5,5,3,2,5,0,3,3,2
0,1,15,1,0,0,3,4,2,0,1,2,0,1,0,0,1,1,1,1,1,5,3,2,1,1,1,0,1,2,2
0,1,19,1,1,1,0,1,0,2,1,2,3,0,1,0,0,0,0,0,0,3,4,2,1,1,5,2,1,1,2
0,0,18,0,1,1,2,2,3,0,1,1,2,0,1,0,1,1,1,1,0,3,3,3,1,2,4,0,1,1,1
0,0,16,0,1,1,4,4,0,0,1,1,0,0,0,1,1,1,1,1,0,3,5,5,2,5,4,8,4,4,4
0,1,15,0,1,1,3,4,0,1,2,3,2,0,1,0,0,1,1,1,1,4,2,2,2,2,5,0,2,1,1
0,1,15,1,1,1,1,1,0,0,3,1,0,0,1,0,1,0,1,1,1,4,3,3,1,2,4,0,1,1,1
0,1,17,1,0,1,2,2,0,1,1,1,0,0,1,0,0,1,1,1,1,3,4,4,1,3,5,12,2,3,2
0,1,16,1,1,0,3,4,0,1,1,1,0,0,0,0,0,1,1,1,0,3,2,1,1,4,5,16,2,2,2
0,0,15,0,1,1,3,4,0,0,4,2,0,0,1,0,0,1,1,0,1,5,3,3,1,1,5,0,2,1,1
0,1,15,1,1,1,4,4,0,0,1,3,0,0,1,0,1,1,1,1,1,4,3,3,1,1,5,0,2,1,1
0,0,17,0,1,1,3,4,0,0,3,2,0,0,0,0,0,1,1,0,0,5,4,5,2,4,5,0,2,1,1
0,1,16,1,1,0,3,3,0,2,2,1,2,0,1,0,1,0,1,1,1,4,3,2,1,1,5,0,1,1,1
0,0,16,1,0,1,1,1,0,0,1,2,1,0,0,0,0,1,1,0,1,4,4,4,1,3,5,0,3,2,2
0,1,15,1,1,1,4,4,0,0,2,1,0,0,0,0,1,1,1,1,0,4,3,2,1,1,5,0,4,4,3
0,0,15,1,1,1,4,3,0,1,2,4,0,1,1,0,0,1,1,1,0,2,2,2,1,1,3,0,1,2,1
0,0,16,1,0,1,2,2,3,1,2,1,2,0,1,0,1,1,1,1,0,2,3,3,2,2,2,8,2,2,2
0,1,15,1,1,1,4,4,0,0,1,3,0,0,1,1,1,1,1,1,0,4,2,2,1,1,5,2,2,2,2
0,1,16,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,3,4,4,3,3,1,2,3,3,3
0,0,17,1,1,1,2,1,2,0,1,1,3,0,1,0,0,1,1,1,0,5,4,5,1,2,5,0,1,1,1
0,1,15,1,1,1,1,1,0,1,1,2,0,0,1,1,0,1,1,1,0,4,4,2,1,2,5,0,1,2,2
0,1,15,1,1,1,3,2,2,1,1,2,3,0,1,0,0,1,1,1,0,3,3,2,1,1,3,0,1,1,1
0,1,15,1,1,1,1,2,0,0,1,2,0,0,1,1,0,0,1,1,0,4,3,2,1,1,5,2,2,2,2
0,0,16,1,1,1,4,4,0,0,1,1,0,0,1,0,0,1,0,1,1,3,3,2,2,1,5,0,1,1,1
0,0,15,1,0,0,2,1,0,0,4,1,3,0,0,0,0,1,1,1,0,4,5,5,2,5,5,0,1,2,2
0,0,18,1,0,1,1,1,0,0,1,1,3,0,0,0,0,1,0,1,1,2,3,5,2,5,4,0,1,1,1
0,0,16,1,0,1,2,1,0,0,1,1,1,0,0,0,1,1,1,0,1,4,4,4,3,5,5,6,2,3,3
0,1,15,0,1,1,3,3,3,2,2,3,2,0,1,1,1,1,1,1,1,4,2,1,2,3,3,8,2,2,2
0,0,19,1,1,1,3,2,2,0,1,1,3,0,1,0,0,1,0,1,1,4,5,4,1,1,4,0,1,1,1
0,1,17,1,1,1,4,4,0,0,1,1,0,1,1,0,0,1,1,0,1,4,2,1,1,1,4,0,2,2,2
0,0,15,0,1,1,2,3,0,0,1,2,0,1,0,1,1,1,1,0,0,4,4,4,1,1,1,2,2,1,1
0,0,17,0,0,1,1,2,3,0,1,1,0,0,0,0,0,1,1,0,0,2,2,2,3,3,5,8,4,2,3
0,1,18,0,1,1,1,1,0,0,3,1,3,0,1,0,1,0,1,0,0,5,2,5,1,5,4,6,2,1,2
0,0,16,0,1,1,2,2,0,0,3,1,0,0,0,0,0,0,1,0,0,4,2,2,1,2,3,2,4,3,3
0,0,16,1,1,1,3,3,0,1,1,2,1,0,1,1,0,1,1,1,1,4,5,5,4,4,5,4,2,2,2
0,0,17,0,0,1,2,1,0,0,2,1,2,0,0,0,1,1,0,1,1,3,3,2,2,2,5,0,1,1,1
0,0,15,0,1,1,3,2,0,0,2,2,2,1,1,0,0,1,1,1,1,4,4,4,1,4,3,6,1,2,1
0,0,16,1,0,1,1,2,0,0,2,1,1,0,0,0,1,1,1,0,0,4,4,4,2,4,5,0,1,1,1
0,0,17,1,1,1,1,3,0,1,1,1,0,0,0,0,0,1,0,1,0,5,3,3,1,4,2,2,2,2,2
0,0,17,0,0,1,1,1,0,0,4,2,3,0,0,0,1,1,0,0,1,5,3,5,1,5,5,0,1,1,1
0,0,16,1,1,1,3,2,0,0,2,1,1,0,1,0,1,0,0,0,0,4,5,2,1,1,2,16,2,2,2
0,0,16,1,1,1,2,2,0,1,1,2,0,0,0,0,0,1,0,1,0,4,3,5,2,4,4,4,2,2,2
0,1,16,1,1,1,4,2,2,1,1,2,0,0,0,1,0,1,1,1,1,4,2,3,1,1,3,0,3,3,4
0,1,16,1,1,1,2,2,2,0,1,2,0,0,1,1,0,0,1,1,0,5,1,5,1,1,4,0,1,1,1
0,1,16,1,1,1,4,4,3,0,1,2,0,0,1,1,0,1,1,1,1,4,4,2,1,1,3,0,3,3,3
0,0,16,1,1,1,3,4,0,1,3,1,2,0,1,0,1,0,1,1,0,3,4,5,2,4,2,0,1,1,1
0,0,16,1,1,1,1,0,3,0,2,2,0,0,1,1,1,1,1,1,1,4,3,2,1,1,3,2,3,3,4
0,0,17,1,0,1,4,4,3,0,1,2,0,0,1,1,1,1,1,1,0,4,4,4,1,3,5,0,3,2,2
0,1,16,1,1,1,1,3,2,0,1,2,3,0,0,0,1,0,1,1,1,4,3,5,1,1,3,0,1,1,1
0,1,16,1,0,1,3,3,3,0,2,2,0,0,1,1,1,1,1,1,0,4,4,5,1,1,4,4,2,2,2
0,0,17,1,0,1,4,3,0,0,2,2,0,0,0,1,1,1,1,1,0,4,4,4,4,4,4,4,2,2,2
0,1,16,1,1,1,2,2,3,0,2,2,0,0,0,1,1,0,1,1,0,3,4,4,1,4,5,2,3,3,2
0,0,17,1,1,1,3,3,3,1,1,2,0,0,0,0,1,0,1,1,0,4,3,4,1,4,4,4,1,1,1
0,0,16,0,1,1,4,2,1,0,1,1,0,0,1,0,1,1,1,1,1,4,3,3,3,4,3,10,2,1,2
0,0,17,1,1,1,4,3,0,0,1,2,0,0,1,0,1,1,1,1,1,5,2,3,1,1,2,4,2,2,2
0,0,16,1,1,1,4,3,2,0,1,2,0,0,1,1,1,1,1,1,0,3,4,3,2,3,3,10,2,1,1
0,0,16,1,1,1,3,3,2,0,1,2,0,0,0,1,1,1,1,1,1,4,2,3,1,2,3,2,2,3,2
0,1,17,1,1,1,2,4,3,1,1,2,0,0,1,0,1,1,1,0,0,5,4,2,2,3,5,0,4,4,4
0,1,17,1,0,1,3,3,3,0,1,2,0,0,1,0,1,1,1,1,1,5,3,3,2,3,1,56,2,2,1
0,1,16,1,1,1,3,2,3,0,1,2,0,0,1,1,0,1,1,1,0,1,2,2,1,2,1,14,2,3,2
0,0,17,1,1,1,3,3,1,0,1,2,0,0,1,0,1,1,1,1,1,4,3,4,2,3,4,12,2,2,2
0,0,16,1,1,1,1,2,1,0,1,1,0,0,1,1,1,1,1,1,1,3,3,3,1,2,3,2,2,2,2
0,0,16,1,0,1,2,1,0,0,1,2,0,0,0,1,1,1,1,1,1,4,2,3,1,2,5,0,3,3,3
0,1,17,1,1,0,3,3,3,0,1,2,0,0,1,0,0,0,1,1,1,3,3,3,1,3,3,6,1,1,2
0,0,17,0,1,1,1,2,2,0,1,2,0,0,0,0,0,1,1,0,0,3,1,3,1,5,3,4,1,2,2
0,1,16,1,1,1,2,3,0,0,1,2,0,0,0,0,0,1,1,1,0,4,3,3,1,1,2,10,2,2,3
0,1,17,1,1,1,1,1,0,0,1,2,0,0,0,0,1,1,1,1,0,5,3,3,1,1,3,0,1,1,2
0,0,17,1,1,1,1,2,1,2,2,2,0,0,0,1,1,0,1,1,0,4,4,4,4,5,5,12,1,1,1
0,0,16,0,1,1,3,3,3,0,1,1,0,0,1,0,1,1,1,1,0,4,3,2,3,4,5,8,1,2,2
0,0,16,1,1,1,2,3,2,1,2,1,0,0,0,0,0,1,1,1,0,5,3,3,1,1,3,0,3,3,3
